::1 - - [03/Feb/2023:09:31:50 +0000] "POST /api/fund HTTP/1.1" 201 557 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:32:24 +0000] "POST /api/fund HTTP/1.1" 500 185 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:38:47 +0000] "PATCH /api/fund HTTP/1.1" 200 39 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:39:32 +0000] "PATCH /api/fund HTTP/1.1" 200 255 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:40:12 +0000] "PATCH /api/fund HTTP/1.1" 400 1083 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:40:15 +0000] "PATCH /api/fund HTTP/1.1" 200 38 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:41:12 +0000] "PATCH /api/fund HTTP/1.1" 200 38 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:45:25 +0000] "PATCH /api/fund HTTP/1.1" 200 13 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:46:01 +0000] "PATCH /api/fund HTTP/1.1" 200 13 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:49:48 +0000] "PATCH /api/fund HTTP/1.1" 200 20 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:50:15 +0000] "PATCH /api/fund HTTP/1.1" 200 2 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:55:44 +0000] "PATCH /api/fund HTTP/1.1" 500 53 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:55:50 +0000] "PATCH /api/fund HTTP/1.1" 500 52 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:56:03 +0000] "GET /api/fund HTTP/1.1" 201 599 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:56:30 +0000] "PATCH /api/fund HTTP/1.1" 500 54 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:56:44 +0000] "PATCH /api/fund HTTP/1.1" 201 559 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:56:55 +0000] "PATCH /api/fund HTTP/1.1" 201 32 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:09:58:23 +0000] "PATCH /api/fund HTTP/1.1" 201 32 "-" "PostmanRuntime/7.30.1"
